SortNo	Generic	Shape	Brand	Route	GPKs	Indication	ScheduleText	Dep	Gender	MinAge	MaxAge	MinWeight	MaxWeight	MinBSA	MaxBSA	MinGestAge	MaxGestAge	MinPMAge	MaxPMAge	DoseType	DoseText	UseGenericName	Substance	Freqs	DoseUnit	AdjustUnit	FreqUnit	RateUnit	MinTime	MaxTime	TimeUnit	MinInt	MaxInt	IntUnit	MinDur	MaxDur	DurUnit	MinQty	MaxQty	NormQtyAdj	MinQtyAdj	MaxQtyAdj	MinPerTime	MaxPerTime	NormPerTimeAdj	MinPerTimeAdj	MaxPerTimeAdj	MinRate	MaxRate	MinRateAdj	MaxRateAdj
2437	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: JONGENS	< 10 jaar en ≥ 20 kg 3,75 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 11,25 mg depot eenmaal per 3 maanden		man		3652	20000								discontinuous			leuproreline	3;4	mg		12 weken											3.75	3.75												
2437	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: JONGENS	< 10 jaar en ≥ 20 kg 3,75 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 11,25 mg depot eenmaal per 3 maanden		man		3652	20000								discontinuous	alternatief		leuproreline	1	mg		3 maanden											11.25	11.25												
2434	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: MEISJES	< 9 jaar en < 20 kg 1,875 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 5,625 mg depot eenmaal per 3 maanden		vrouw		3287		20000							discontinuous			leuproreline	3;4	mg		12 weken											1.875	1.875												
2434	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: MEISJES	< 9 jaar en < 20 kg 1,875 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 5,625 mg depot eenmaal per 3 maanden		vrouw		3287		20000							discontinuous	alternatief		leuproreline	1	mg		3 maanden											5.625	5.625												
2435	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: MEISJES	< 9 jaar en ≥ 20 kg 3,75 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 11,25 mg depot eenmaal per 3 maanden		vrouw		3287	20000								discontinuous			leuproreline	3;4	mg		12 weken											3.75	3.75												
2435	leuproreline			SUBCUTAAN		Ideopathische centrale pubertas praecox: MEISJES	< 9 jaar en ≥ 20 kg 3,75 mg/dosis elke 4 weken. Bij onvoldoende onderdrukking elke 3 weken.. Alternatief: 11,25 mg depot eenmaal per 3 maanden		vrouw		3287	20000								discontinuous	alternatief		leuproreline	1	mg		3 maanden											11.25	11.25												
2439	levamisol			ORAAL		Steroïdgevoelig nefrotisch syndroom	≥ 1 jaar 2,5 mg/kg/dosis om de dag. Max: 150 mg/dosis.			365										discontinuous			levamisol	1	mg	kg	2 dagen												150	2.5											
2442	levetiracetam			INTRAVENEUS		Epilepsie	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses.Onderhoudsdosering: Ophogen tot 20 - 40 mg/kg/dag in 2 doses. Max: 60mg/kg/dag, maar niet hoger dan 3.000 mg/dag.			30	6574									discontinuous	startdosering		levetiracetam	2	mg	kg	dag																		10						
2443	levetiracetam			INTRAVENEUS		Epilepsie	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses.Onderhoudsdosering: Ophogen tot 20 - 40 mg/kg/dag in 2 doses. Max: 60mg/kg/dag, maar niet hoger dan 3.000 mg/dag.			30	6574									discontinuous	onderhoudsdosering		levetiracetam	2	mg	kg	dag																	3000		20	60				
2448	levetiracetam			INTRAVENEUS		Neonatale epileptische aanvallen	Premature neonaten: Zwangerschapsduur < 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. In de literatuur worden ook hogere onderhoudsdoseringen gegeven, tot wel 100 mg/kg/dag Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182						252			once	start		levetiracetam		mg	kg														20											
2449	levetiracetam			INTRAVENEUS		Neonatale epileptische aanvallen	Premature neonaten: Zwangerschapsduur < 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. In de literatuur worden ook hogere onderhoudsdoseringen gegeven, tot wel 100 mg/kg/dag Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182						252			discontinuous	onderhoud		levetiracetam	2	mg	kg	dag																			20	40				
2450	levetiracetam			INTRAVENEUS		Neonatale epileptische aanvallen	A terme neonaten Zwangerschapsduur ≥ 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. In de literatuur worden ook hogere onderhoudsdoseringen gegeven, tot wel 100 mg/kg/dag Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182					252				once	start		levetiracetam		mg	kg														20											
2451	levetiracetam			INTRAVENEUS		Neonatale epileptische aanvallen	A terme neonaten Zwangerschapsduur ≥ 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. In de literatuur worden ook hogere onderhoudsdoseringen gegeven, tot wel 100 mg/kg/dag Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182					252				discontinuous	onderhoud		levetiracetam	2	mg	kg	dag																			20	40				
2452	levetiracetam			INTRAVENEUS		Persisterende status epilepticus	1 maand tot 18 jaar 40 mg/kg/dosis in 8 minuten inlopen.			30	6574									onceTimed			levetiracetam		mg	kg		uur	8	10	min									40											
2440	levetiracetam			ORAAL		Epilepsie	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses.Onderhoudsdosering: ophogen tot 20 - 40 mg/kg/dag in 2 doses. Max: 60mg/kg/dag, maar niet hoger dan 3.000 mg/dag.			30	6574									discontinuous	startdosering		levetiracetam	2	mg	kg	dag																		10						
2441	levetiracetam			ORAAL		Epilepsie	1 maand tot 18 jaar Startdosering: 10 mg/kg/dag in 2 doses.Onderhoudsdosering: ophogen tot 20 - 40 mg/kg/dag in 2 doses. Max: 60mg/kg/dag, maar niet hoger dan 3.000 mg/dag.			30	6574									discontinuous	onderhoudsdosering		levetiracetam	2	mg	kg	dag																	3000		20	60				
2444	levetiracetam			ORAAL		Neonatale epileptische aanvallen	Premature neonaten Zwangerschapsduur < 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182						252			once	start		levetiracetam		mg	kg														20											
2445	levetiracetam			ORAAL		Neonatale epileptische aanvallen	Premature neonaten Zwangerschapsduur < 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182						252			discontinuous	onderhoud		levetiracetam	2	mg	kg	dag																			20	40				
2446	levetiracetam			ORAAL		Neonatale epileptische aanvallen	A terme neonaten Zwangerschapsduur ≥ 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: Startdosering zo nodig met stappen van 10 mg/kg per 3 dagen ophogen naar: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182					252				once	start		levetiracetam		mg	kg														20											
2447	levetiracetam			ORAAL		Neonatale epileptische aanvallen	A terme neonaten Zwangerschapsduur ≥ 36 weken Startdosering:Met en zonder hypothermie: 20 mg/kg/dosis, zo nodig maximaal 2 x herhalen met tenminste 10 min tussentijd. Onderhoudsdosering: Startdosering zo nodig met stappen van 10 mg/kg per 3 dagen ophogen naar: 20 - 40 mg/kg/dag in 2 doses. Max: 60 mg/kg/dag. Indien aanvalsvrij: geen voortzetting van anti-epileptica na de acute fase (asfyxie) tenzij er structurele afwijkingen op MRI zijn of bij een genetische oorzaak.				182					252				discontinuous	onderhoud		levetiracetam	2	mg	kg	dag																			20	60				
2454	levobupivacaine			PERINEURAAL		Perifere zenuwblokkade bij chirurgie	6 maanden tot 12 jaar ilio-inguinale/iliohypogastrische blokkade: 1,25 mg/kg/dosis per kant.			182	4383									once			levobupivacaine		mg	kg														1.25											
2455	levocabastine			NASAAL		Allergische rhinitis	1 maand tot 18 jaar Per neusgat: 2 pufje(s)/dosis 2-4 dd.			30	6574									discontinuous	onderhoud			2;3;4	dosis		dag											2	2												
2456	levocabastine			OCULAIR		Allergische conjunctivitis	1 maand tot 18 jaar 1 druppel(s)/dosis 2-4 dd. in beide ogen.			30	6574									discontinuous	onderhoud			2;3;4	druppel		dag											1	1												
2467	levocarnitine			INTRAVENEUS		Acute ontregeling: Organic acidurias; carnitine transporter defect; MCAD deficiëntie; mitochrodriële afwijkingen	0 jaar tot 18 jaar Startdosering: (alleen bij org. acidurie) 100 mg/kg/dosis, bolus. Onderhoudsdosering: 50 - 200 mg/kg/dag, continu infuus. Alternatieve doseerfrequentie: in 4-6 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			0	6574									once	startdosering		levocarnitine		mg	kg														100											
2468	levocarnitine			INTRAVENEUS		Acute ontregeling: Organic acidurias; carnitine transporter defect; MCAD deficiëntie; mitochrodriële afwijkingen	0 jaar tot 18 jaar Startdosering: (alleen bij org. acidurie) 100 mg/kg/dosis, bolus. Onderhoudsdosering: 50 - 200 mg/kg/dag, continu infuus. Alternatieve doseerfrequentie: in 4-6 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			0	6574									continuous			levocarnitine		mg	kg		dag																						50	200
2468	levocarnitine			INTRAVENEUS		Acute ontregeling: Organic acidurias; carnitine transporter defect; MCAD deficiëntie; mitochrodriële afwijkingen	0 jaar tot 18 jaar Startdosering: (alleen bij org. acidurie) 100 mg/kg/dosis, bolus. Onderhoudsdosering: 50 - 200 mg/kg/dag, continu infuus. Alternatieve doseerfrequentie: in 4-6 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			0	6574									discontinuous			levocarnitine	3;4;6	mg	kg	dag														50	200									
2465	levocarnitine			INTRAVENEUS		Acyl-CoA dehydrogenase defecten	0 jaar tot 18 jaar 100 - 200 mg/kg/dag in 3 - 4 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			0	6574									discontinuous			levocarnitine	3;4	mg	kg	dag																			100	200				
2461	levocarnitine			INTRAVENEUS		Primaire carnitine deficientie	< 1 jaar Tot maximaal 30 mg/kg/dag in 1 dosisUitsluitend IV toedienen wanneer toediening per os niet mogelijk is.De injectievloeistof dient langzaam (3 minuten) intraveneus toegediend te worden				365									timed			levocarnitine	1	mg	kg	dag	uur	3	15	min														30						
2462	levocarnitine			INTRAVENEUS		Primaire carnitine deficientie	1 jaar tot 12 jaar Tot maximaal 20 mg/kg/dag in 1 dosisUitsluitend IV toedienen wanneer toediening per os niet mogelijk is.De injectievloeistof dient langzaam (3 minuten) intraveneus toegediend te worden			365	4383									timed			levocarnitine	1	mg	kg	dag	uur	3	15	min														20						
2463	levocarnitine			INTRAVENEUS		Primaire carnitine deficientie	12 jaar tot 18 jaar Tot maximaal 20 mg/kg/dag in 1 dosisUitsluitend IV toedienen wanneer toediening per os niet mogelijk is.De injectievloeistof dient langzaam (3 minuten) intraveneus toegediend te worden			4383	6574									timed			levocarnitine	1	mg	kg	dag	uur	3	15	min														20						
2457	levocarnitine			ORAAL		Cystinosis bij renaal tubulair (en glomerulair) disfunctioneren of nierfalen	0 jaar tot 18 jaar 50 - 100 mg/kg/dag in 1 dosisBehandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie			0	6574									discontinuous			levocarnitine	1	mg	kg	dag																			50	100				
2466	levocarnitine			ORAAL		Geïsolieerde 3-methylcrotonyl-CoA carboxylase deficiëntie	0 jaar tot 18 jaar 100 mg/kg/dag in 3 - 4 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie			0	6574									discontinuous			levocarnitine	3;4	mg	kg	dag																		100						
2464	levocarnitine			ORAAL		Organische acidurien	0 jaar tot 18 jaar 100 mg/kg/dag in 3 - 4 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie			0	6574									discontinuous			levocarnitine	3;4	mg	kg	dag																		100						
2458	levocarnitine			ORAAL		Primaire carnitine deficientie	< 1 jaar 100 - 150 mg/kg/dag in 3 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.				365									discontinuous			levocarnitine	3	mg	kg	dag																			100	150				
2459	levocarnitine			ORAAL		Primaire carnitine deficientie	1 jaar tot 12 jaar 50 - 100 mg/kg/dag in 3 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			365	4383									discontinuous			levocarnitine	3	mg	kg	dag																			50	100				
2460	levocarnitine			ORAAL		Primaire carnitine deficientie	12 jaar tot 18 jaar 20 - 40 mg/kg/dag in 2 - 3 doses.Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van levocarnitine voor deze indicatie.			4383	6574									discontinuous			levocarnitine	2;3	mg	kg	dag																			20	40				
2470	levocetirizine			ORAAL		Symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis) en chronische idiopathische urticaria	1 jaar tot 2 jaar 0,25 mg/kg/dag in 2 doses. Max: 2,5 mg/dag.			365	730									discontinuous			levocetirizine	2	mg	kg	dag																	2.5	0.25						
2472	levocetirizine			ORAAL		Symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis) en chronische idiopathische urticaria	2 jaar tot 6 jaar 2,5 mg/dag in 2 doses.Bij chronische idiopathische urticaria kan bij onvoldoende effect worden overwogen om de dosering op te hogen tot maximaal 4 x de dagdosering.			730	2191									discontinuous			levocetirizine	2	mg		dag																2.5	10							
2474	levocetirizine			ORAAL		Symptomatische behandeling van allergische rhinitis (met inbegrip van persisterende allergische rhinitis) en chronische idiopathische urticaria	6 jaar tot 18 jaar 5 mg/dag in 1 dosisBij chronische idiopathische urticaria kan bij onvoldoende effect worden overwogen om de dosering op te hogen tot maximaal 4 x de dagdosering.			2191	6574									discontinuous			levocetirizine	1	mg		dag																5	20							
2475	levodopa/carbidopa 10:1			ORAAL	10103;36609;	GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahydropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	a terme neonaat Levodopa:carbidopa = 10:1 Doseren uitgaande van levodopa: 1 - 3 mg/kg/dag in 3 - 6 doses. Langzaam ophogen na enkele dagen/weken in stappen van ten hoogste 1 mg/kg.. Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van Levodopa-carbidopa voor deze indicatie.				30					259				discontinuous			levodopa	3;4;5;6	mg	kg	dag																			1	3				
2476	levodopa/carbidopa 10:1			ORAAL	10103;36609;	GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahydropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	1 maand tot 2 jaar Levodopa:carbidopa = 10:1 Doseren uitgaande van levodopa: 4 - 7 mg/kg/dag in 3 - 6 doses. Langzaam ophogen na enkele dagen/weken in stappen van ten hoogste 1 mg/kg per dagen/week. Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van Levodopa-carbidopa voor deze indicatie.			30	730									discontinuous			levodopa	3;4;5;6	mg	kg	dag																			4	7				
2477	levodopa/carbidopa 10:1			ORAAL	10103;36609;	GTP cyclohydrolase I deficientie (GTPCH); 6 pyruvoyl tetrahydropterin synthase deficientie (PTPS); Dihydropteridine reductase deficientie (DHPR)	≥ 2 jaar Levodopa:carbidopa = 10:1 Doseren uitgaande van levodopa 8 - 15 mg/kg/dag in 3 - 6 doses. Langzaam ophogen na enkele dagen/weken in stappen van ten hoogste 1 mg/kg per dagen/week.. Behandeling door of na overleg met een kinderarts-specialist (metabole ziekten) die ervaring heeft met gebruik van Levodopa-carbidopa voor deze indicatie.			730										discontinuous			levodopa	3;4;5;6	mg	kg	dag																			8	15				
2478	levodopa/carbidopa 10:1			ORAAL	10103;36609;	Tyrosinehydroxylase deficientie	0 jaar tot 18 jaar Doseren uitgaande van levodopa: 1 - 10 mg/kg/dag in 2 - 6 doses. . Langzaam ophogen na enkele dagen/weken in stappen van ten hoogste 1 mg/kg.. Product 25% (levodopa:carbidopa 4:1) gebruiken wanneer de totale dagdosis levodopa minder dan 400 mg is, anders 10% (Levodopa:carbidopa 10:1) gebruiken.			0	6574									discontinuous			levodopa	2;3;4;6	mg	kg	dag																			1	10				
2483	levofloxacine			INTRAVENEUS		Bacteriele infecties	6 maanden tot 5 jaar 20 mg/kg/dag in 2 doses.			182	1826									discontinuous			levofloxacine	2	mg	kg	dag																		20						
2484	levofloxacine			INTRAVENEUS		Bacteriele infecties	5 jaar tot 18 jaar 10 mg/kg/dag in 1 dosis. Max: 500 mg/dag.			1826	6574									discontinuous			levofloxacine	1	mg	kg	dag																	500	10						
2487	levofloxacine			INTRAVENEUS		Ernstige bacteriele infecties	5 jaar tot 18 jaar 20 mg/kg/dag in 2 doses. Max: 1.000 mg/dag.			1826	6574									discontinuous			levofloxacine	2	mg	kg	dag																	1000	20						
2490	levofloxacine			INTRAVENEUS		Infecties (zonder klinische verdenking meningitis) veroorzaakt door micro organismen die gevoelig zijn bij een verhoogde blootstelling ('I')	5 jaar tot 18 jaar 20 mg/kg/dag in 2 doses. Max: 1.000 mg/dag. Klik hier voor toelichting .			1826	6574									discontinuous			levofloxacine	2	mg	kg	dag																	1000	20						
2479	levofloxacine			ORAAL		Bacteriele infecties	6 maanden tot 5 jaar 20 mg/kg/dag in 2 doses.			182	1826									discontinuous			levofloxacine	2	mg	kg	dag																		20						
2481	levofloxacine			ORAAL		Bacteriele infecties	5 jaar tot 18 jaar 10 mg/kg/dag in 1 dosis. Max: 500 mg/dag.			1826	6574									discontinuous			levofloxacine	1	mg	kg	dag																	500	10						
2485	levofloxacine			ORAAL		Ernstige bacteriele infecties	5 jaar tot 18 jaar 20 mg/kg/dag in 2 doses. Max: 1.000 mg/dag.			1826	6574									discontinuous			levofloxacine	2	mg	kg	dag																	1000	20						
2488	levofloxacine			ORAAL		Infecties (zonder klinische verdenking meningitis) veroorzaakt door micro organismen die gevoelig zijn bij een verhoogde blootstelling ('I')	5 jaar tot 18 jaar 20 mg/kg/dag in 2 doses. Max: 1.000 mg/dag. Klik hier voor toelichting .			1826	6574									discontinuous			levofloxacine	2	mg	kg	dag																	1000	20						
2491	levomenthol			CUTAAN		Jeuk	2 jaar tot 18 jaar Zo nodig meerdere malen per dag op jeukende plek aanbrengen.Er is geen onderzoek verricht naar de toepassing van levomethol bij kinderen.			730	6574									discontinuous	zo nodig meerdere malen per dag		levomenthol	1;2;3;4;6;8;12	keer		dag																								
2492	levosimendan			INTRAVENEUS		Bij acuut hartfalen indien de standaardtherapie onvoldoende effectief is	a terme neonaat Startdosering: 12 microg./kg/dosis, bolus in 30 min. Onderhoudsdosering: 0,1 microg./kg/minuut gedurende 24 uur. De onderhoudsdosering kan eventueel na 1-2 weken worden herhaald.. Er zijn weinig gegevens beschikbaar omtrent het gebruik en de werking van levosimendan bij kinderen. Het is bovendien niet geregistreerd bij volwassenen, omdat risico's - voornamelijk hypotensie en hartritmestoornissen - niet opwegen tegen de voordelen. Om deze reden dient dit middel met grote terughoudendheid toegepast te worden en uitsluitend toegediend te worden onder intensieve hartbewaking en in overleg met een kindercardioloog die ervaring heeft met gebruik van dit levosimendan voor deze indicatie.				30					259				onceTimed	startdosering		levosimendan		microg	kg		uur	30	35	min									12											
2492	levosimendan			INTRAVENEUS		Bij acuut hartfalen indien de standaardtherapie onvoldoende effectief is	a terme neonaat Startdosering: 12 microg./kg/dosis, bolus in 30 min. Onderhoudsdosering: 0,1 microg./kg/minuut gedurende 24 uur. De onderhoudsdosering kan eventueel na 1-2 weken worden herhaald.. Er zijn weinig gegevens beschikbaar omtrent het gebruik en de werking van levosimendan bij kinderen. Het is bovendien niet geregistreerd bij volwassenen, omdat risico's - voornamelijk hypotensie en hartritmestoornissen - niet opwegen tegen de voordelen. Om deze reden dient dit middel met grote terughoudendheid toegepast te worden en uitsluitend toegediend te worden onder intensieve hartbewaking en in overleg met een kindercardioloog die ervaring heeft met gebruik van dit levosimendan voor deze indicatie.				30					259				continuous	onderhoudsdosering		levosimendan		microg	kg		min																						0.09	1.1
2493	levosimendan			INTRAVENEUS		Bij acuut hartfalen indien de standaardtherapie onvoldoende effectief is	1 maand tot 18 jaar Startdosering: 12 microg./kg/dosis, bolus in 30 min. Onderhoudsdosering: 0,1 microg./kg/minuut gedurende 24 uur. De onderhoudsdosering kan eventueel na 1-2 weken worden herhaald.. Er zijn weinig gegevens beschikbaar omtrent het gebruik en de werking van levosimendan bij kinderen. Het is bovendien niet geregistreerd bij volwassenen, omdat risico's - voornamelijk hypotensie en hartritmestoornissen - niet opwegen tegen de voordelen. Om deze reden dient dit middel met grote terughoudendheid toegepast te worden en uitsluitend toegediend te worden onder intensieve hartbewaking en in overleg met een kindercardioloog die ervaring heeft met gebruik van dit levosimendan voor deze indicatie.			30	6574									onceTimed	startdosering		levosimendan		microg	kg		uur	30	35	min									12											
2493	levosimendan			INTRAVENEUS		Bij acuut hartfalen indien de standaardtherapie onvoldoende effectief is	1 maand tot 18 jaar Startdosering: 12 microg./kg/dosis, bolus in 30 min. Onderhoudsdosering: 0,1 microg./kg/minuut gedurende 24 uur. De onderhoudsdosering kan eventueel na 1-2 weken worden herhaald.. Er zijn weinig gegevens beschikbaar omtrent het gebruik en de werking van levosimendan bij kinderen. Het is bovendien niet geregistreerd bij volwassenen, omdat risico's - voornamelijk hypotensie en hartritmestoornissen - niet opwegen tegen de voordelen. Om deze reden dient dit middel met grote terughoudendheid toegepast te worden en uitsluitend toegediend te worden onder intensieve hartbewaking en in overleg met een kindercardioloog die ervaring heeft met gebruik van dit levosimendan voor deze indicatie.			30	6574									continuous	onderhoudsdosering		levosimendan		microg	kg		min																						0.09	1.1
2500	levothyroxine			ORAAL		Congenitale hypothyreoidie inductie	0 jaar tot 1 jaar Startdosering: 10 microg./kg/dag in 1 dosis Inductiefase teneinde normalisatie van FT4 en TSH te bereiken. Bij ernstige hypothyreoidie (FT4 < 8 pmol/L) wordt eenmalig na 12 uur de startdosering herhaald. . Onderhoudsdosering: 5 - 8 microg./kg/dag in 1 dosisAdvies inname/toediening: Levothyroxine kan 's ochtend of 's avonds en met dan wel zonder voedsel worden ingenomen, maar dient wel elke dag op dezelfde manier ingenomen te worden.De dosis aanpassing is ongeveer 1 microg/kg/dag, afgerond naar de dichtstbijzijnde eenheid van ± 6,25 microg (een kwart tablet van 25 microg). De dosering dient vervolgens te worden getitreerd op basis van de TSH en FT4 waarden. Streefwaarden: Inductiefase: FT4 25-35 pmol/L; TSH 0,4-4,0 Onderhoud: FT4: in referentiegebied, TSH 0,4-4,0			0	365									discontinuous	onderhoud		levothyroxine	1	microg	kg	dag													10	5	10									
2501	levothyroxine			ORAAL		Congenitale hypothyreoidie inductie	1 jaar tot 5 jaar Startdosering: 10 microg./kg/dag in 1 dosis Inductiefase teneinde normalisatie van FT4 en TSH te bereiken. Bij ernstige hypothyreoidie (FT4 < 8 pmol/L) wordt eenmalig na 12 uur de startdosering herhaald.. Onderhoudsdosering: 5 - 6 microg./kg/dag in 1 dosisAdvies inname/toediening: Levothyroxine kan 's ochtend of 's avonds en met dan wel zonder voedsel worden ingenomen, maar dient wel elke dag op dezelfde manier ingenomen te wordenDe dosis aanpassing is ongeveer 1 microg/kg/dag, afgerond naar de dichtstbijzijnde eenheid van ± 6,25 microg (een kwart tablet van 25 microg). De dosering dient vervolgens te worden getitreerd op basis van de TSH en FT4 waarden.Streefwaarden: Inductiefase: FT4 25-35 pmol/L; TSH 0,4-4,0 Onderhoud: FT4: in referentiegebied, TSH 0,4-4,0			365	1826									discontinuous	onderhoud		levothyroxine	1	microg	kg	dag													10											
2502	levothyroxine			ORAAL		Congenitale hypothyreoidie inductie	5 jaar tot 12 jaar Startdosering: 10 microg./kg/dag in 1 dosis Inductiefase teneinde normalisatie van FT4 en TSH te bereiken. Bij ernstige hypothyreoidie (FT4 < 8 pmol/L) wordt eenmalig na 12 uur de startdosering herhaald.. Onderhoudsdosering: 3 - 5 microg./kg/dag in 1 dosisAdvies inname/toediening: Levothyroxine kan 's ochtend of 's avonds en met dan wel zonder voedsel worden ingenomen, maar dient wel elke dag op dezelfde manier ingenomen te wordenDe dosis aanpassing is ongeveer 1 microg/kg/dag, afgerond naar de dichtstbijzijnde eenheid van ± 6,25 microg (een kwart tablet van 25 microg). De dosering dient vervolgens te worden getitreerd op basis van de TSH en FT4 waarden.Streefwaarden: Inductiefase: FT4 25-35 pmol/L; TSH 0,4-4,0 Onderhoud: FT4: in referentiegebied, TSH 0,4-4,0			1826	4383									discontinuous	onderhoud		levothyroxine	1	microg	kg	dag													10											
